Record Length,2500,Points,-499.999966E-6,1.5600,,Record Length,2500,Points,-499.999966E-6,-4.48000,
Sample Interval,400.00000E-9,s,-499.599962E-6,1.5400,,Sample Interval,400.00000E-9,s,-499.599962E-6,-4.40000,
Trigger Point,1.2500E3,Samples,-499.199959E-6,1.5400,,Trigger Point,1.2500E3,Samples,-499.199959E-6,-4.48000,
,,,-498.799956E-6,1.5400,,,,,-498.799956E-6,-4.48000,
,,,-498.399953E-6,1.5400,,,,,-498.399953E-6,-4.48000,
,,,-497.999950E-6,1.5400,,,,,-497.999950E-6,-4.48000,
Source,CH1,,-497.599947E-6,1.5400,,Source,CH2,,-497.599947E-6,-4.48000,
Vertical Units,Volts,,-497.199944E-6,1.5400,,Vertical Units,Volts,,-497.199944E-6,-4.48000,
Vertical Scale,499.999989E-3,,-496.799941E-6,1.5400,,Vertical Scale,2.0000,,-496.799941E-6,-4.48000,
Vertical Offset,0,,-496.399938E-6,1.5600,,Vertical Offset,0,,-496.399938E-6,-4.48000,
Horizontal Units,s,,-495.999993E-6,1.5400,,Horizontal Units,s,,-495.999993E-6,-4.48000,
Horizontal Scale,100.0000E-6,,-495.599990E-6,1.5400,,Horizontal Scale,100.0000E-6,,-495.599990E-6,-4.48000,
Pt Fmt,Y,,-495.199987E-6,1.5600,,Pt Fmt,Y,,-495.199987E-6,-4.48000,
Yzero,0.0,,-494.799984E-6,1.5600,,Yzero,0.0,,-494.799984E-6,-4.48000,
Probe Atten,1.000,,-494.399981E-6,1.5600,,Probe Atten,1.000,,-494.399981E-6,-4.48000,
,,,-493.999978E-6,1.5600,,,,,-493.999978E-6,-4.48000,
Note,TDS 1012B - 17:14:48   28/11/2016,,-493.599975E-6,1.5400,,Note,TDS 1012B - 17:14:48   28/11/2016,,-493.599975E-6,-4.48000,
,,,-493.199972E-6,1.5400,,,,,-493.199972E-6,-4.48000,
,,,-492.799969E-6,1.5600,,,,,-492.799969E-6,-4.48000,
,,,-492.399966E-6,1.5400,,,,,-492.399966E-6,-4.48000,
,,,-491.999963E-6,1.5400,,,,,-491.999963E-6,-4.48000,
,,,-491.599960E-6,1.5400,,,,,-491.599960E-6,-4.48000,
,,,-491.199957E-6,1.5600,,,,,-491.199957E-6,-4.48000,
,,,-490.799954E-6,1.5600,,,,,-490.799954E-6,-4.48000,
,,,-490.399951E-6,1.5600,,,,,-490.399951E-6,-4.48000,
,,,-489.999948E-6,1.5600,,,,,-489.999948E-6,-4.48000,
